代码,名称,近1周2连跌,近1周3连跌,2连跌胜率%,2连跌均涨,3连跌胜率%,3连跌均涨,4连跌胜率%,4连跌均涨,5连跌胜率%,5连跌均涨
159502,未知,1,0,64.29,0.36,50.0,0.03,50.0,-0.81,25.0,-0.75
159333,未知,1,0,60.61,0.04,50.0,0.26,50.0,-0.3,0.0,-0.11
513310,未知,1,0,45.0,-0.23,47.73,0.14,43.48,0.11,61.54,0.3
161128,未知,1,0,55.13,0.24,47.42,-0.09,50.0,-0.02,47.83,-0.04
162415,未知,1,0,52.9,0.04,47.41,-0.08,50.0,0.1,40.74,-0.39
513910,未知,1,0,60.98,0.07,46.15,-0.24,57.14,0.3,50.0,-0.74
513290,未知,1,0,58.24,0.12,45.45,0.11,50.0,-0.86,88.89,1.19
520890,未知,1,0,56.25,0.28,41.67,-0.09,28.57,-0.17,100.0,0.58
159687,未知,0,0,54.55,0.05,70.97,0.61,75.0,0.36,50.0,-0.05
520660,未知,0,0,52.78,0.2,66.67,0.16,40.0,0.18,0.0,-2.06
513800,未知,0,0,53.19,-0.01,66.67,0.4,60.0,0.25,44.44,-0.09
513630,未知,0,0,67.8,0.31,66.67,0.18,60.0,0.1,100.0,0.74
159545,未知,0,0,60.0,0.09,64.71,0.25,0.0,-0.34,75.0,-0.13
513810,未知,0,0,60.61,0.06,64.0,0.3,44.44,-0.02,60.0,-0.15
159568,未知,0,0,55.56,0.09,62.5,0.05,71.43,1.24,50.0,1.21
159518,未知,0,0,52.24,0.21,62.07,0.02,27.27,-0.83,16.67,0.6
159529,未知,0,0,51.92,0.36,61.9,0.4,28.57,-1.53,60.0,0.87
501312,未知,0,0,51.39,-0.0,61.76,0.14,46.15,-0.22,33.33,-0.26
513000,未知,0,0,48.37,0.05,60.92,0.25,57.58,0.13,61.54,0.37
513120,未知,0,0,50.0,0.14,60.38,0.18,50.0,-0.16,70.0,0.26
513820,未知,0,0,61.36,0.04,60.0,0.13,80.0,0.61,0.0,-2.29
513020,未知,0,0,52.03,-0.12,59.65,0.53,61.9,0.45,50.0,-0.04
159750,未知,0,0,53.23,-0.06,59.65,0.29,60.87,0.39,50.0,0.07
159747,未知,0,0,48.0,-0.21,58.9,0.5,55.17,0.2,61.54,0.27
513260,未知,0,0,54.72,0.15,58.7,0.35,58.82,0.49,66.67,0.06
159506,未知,0,0,45.0,-0.14,58.14,-0.09,64.71,0.78,83.33,0.81
159726,未知,0,0,52.5,-0.14,58.0,0.13,63.16,0.59,40.0,-0.18
513970,未知,0,0,49.4,0.03,57.89,0.32,57.14,0.53,40.0,-0.09
159659,未知,0,0,52.31,0.24,57.69,0.22,18.18,-0.81,44.44,0.4
513880,未知,0,0,47.89,0.03,57.65,0.27,50.0,0.03,64.71,0.01
513890,未知,0,0,51.56,0.01,57.38,0.49,63.64,0.48,42.86,-0.43
513350,未知,0,0,52.46,0.11,57.14,0.15,20.0,-1.57,50.0,1.07
513040,未知,0,0,54.76,0.2,57.14,-0.34,64.29,0.73,40.0,-0.06
513210,未知,0,0,51.06,-0.19,57.14,0.16,33.33,0.01,50.0,0.04
164705,未知,0,0,50.0,0.14,56.93,0.24,55.56,0.38,47.62,-0.01
159691,未知,0,0,57.14,0.1,56.67,0.01,45.45,0.43,66.67,0.01
513520,未知,0,0,51.31,0.14,56.63,0.15,47.06,-0.03,50.0,-0.01
513380,未知,0,0,50.85,0.14,56.6,0.52,72.73,0.62,40.0,-0.07
159577,未知,0,0,53.06,0.18,56.52,0.14,44.44,-0.45,40.0,0.02
159605,未知,0,0,49.29,0.06,56.52,0.41,59.26,0.28,60.0,0.87
159612,未知,0,0,56.99,0.08,56.41,0.51,62.5,0.25,40.0,0.14
159741,未知,0,0,46.85,-0.15,56.16,0.48,58.06,0.17,50.0,-0.21
159557,未知,0,0,47.92,-0.26,56.0,0.33,54.55,0.61,60.0,-0.41
513860,未知,0,0,51.75,-0.03,55.74,0.26,48.0,-0.08,54.55,-0.03
513010,未知,0,0,48.65,-0.13,55.71,0.4,63.33,0.34,30.0,-0.82
159519,未知,0,0,53.73,0.16,55.56,0.07,72.73,0.42,66.67,-0.18
159742,未知,0,0,47.71,-0.08,55.41,0.26,56.67,-0.04,53.85,0.31
161130,未知,0,0,51.39,0.05,55.1,0.13,53.85,0.47,41.18,-0.18
520700,未知,0,0,50.0,-0.27,55.0,-0.16,66.67,0.38,100.0,1.47
513160,未知,0,0,52.99,-0.05,54.9,0.46,45.45,-0.11,66.67,0.2
513360,未知,0,0,47.18,-0.38,54.79,0.14,51.61,-0.25,57.14,-0.39
159751,未知,0,0,52.8,-0.15,54.72,0.39,59.09,0.34,50.0,0.04
501306,未知,0,0,48.82,0.07,54.67,0.2,67.86,0.29,57.14,1.35
513400,未知,0,0,40.43,-0.22,54.55,0.32,37.5,0.04,75.0,0.43
159607,未知,0,0,50.0,0.01,54.55,0.57,59.26,0.32,66.67,1.18
501301,未知,0,0,49.43,0.02,54.47,0.17,47.27,0.02,52.17,0.06
159740,未知,0,0,49.32,-0.15,54.17,0.41,55.17,0.19,46.15,0.16
513580,未知,0,0,48.67,-0.08,54.17,0.42,60.0,0.12,58.33,0.01
513700,未知,0,0,50.7,-0.05,53.85,0.25,53.57,-0.09,76.92,0.07
501305,未知,0,0,55.4,0.32,53.66,0.36,66.67,0.17,50.0,-0.4
159501,未知,0,0,50.77,0.19,53.57,0.24,33.33,-0.28,62.5,0.33
159513,未知,0,0,47.46,0.17,53.57,0.15,33.33,-0.58,50.0,0.37
159615,未知,0,0,47.46,-0.05,53.45,0.16,56.52,0.71,75.0,0.37
159636,未知,0,0,54.55,0.0,53.19,0.12,45.45,0.02,72.73,0.62
159561,未知,0,0,60.0,-0.09,52.94,-0.16,62.5,0.76,66.67,-0.29
513280,未知,0,0,44.64,-0.03,52.63,-0.05,57.69,0.24,81.82,0.52
159329,未知,0,0,48.98,0.08,52.63,-0.3,87.5,0.92,0.0,0.0
159788,未知,0,0,41.44,-0.24,52.63,0.14,56.0,0.14,40.0,-0.01
501302,未知,0,0,46.51,-0.0,52.43,0.08,51.06,0.18,47.62,-0.05
159688,未知,0,0,51.55,0.19,52.27,-0.08,42.11,-0.02,63.64,0.58
513870,未知,0,0,48.0,0.28,52.17,-0.07,30.0,-0.61,57.14,0.66
160644,未知,0,0,49.76,0.08,52.17,0.27,61.54,0.81,53.33,0.14
513130,未知,0,0,48.34,-0.15,51.95,0.39,58.06,0.17,41.67,-0.28
159960,未知,0,0,46.3,-0.17,51.89,0.21,46.51,-0.07,57.14,-0.15
520830,未知,0,0,35.56,-0.12,51.85,0.03,69.23,-0.27,100.0,2.82
513660,未知,0,0,53.02,-0.06,51.77,0.08,59.09,0.36,57.69,0.17
159776,未知,0,0,50.4,0.15,51.72,0.1,57.69,0.29,80.0,0.19
159792,未知,0,0,52.94,-0.07,51.56,0.26,44.83,-0.06,53.33,0.18
160717,未知,0,0,47.89,-0.05,51.47,0.16,47.25,0.04,53.49,-0.26
159892,未知,0,0,43.61,-0.12,51.43,0.17,48.39,-0.4,73.33,0.43
510900,未知,0,0,50.38,-0.04,51.35,0.02,56.1,0.45,54.29,0.14
159954,未知,0,0,47.98,-0.18,51.33,0.07,44.44,0.15,42.31,-0.18
501303,未知,0,0,48.85,0.06,51.32,0.35,53.85,0.32,45.45,-0.49
513530,未知,0,0,59.05,0.11,51.22,0.01,68.42,0.6,33.33,-0.82
501310,未知,0,0,40.12,-0.12,51.16,0.01,43.24,0.09,36.84,-0.09
159920,未知,0,0,49.34,-0.09,51.11,0.08,48.1,0.07,60.53,0.33
513150,未知,0,0,58.59,0.1,51.06,0.44,52.38,0.02,44.44,-0.44
513200,未知,0,0,52.85,0.0,50.88,0.23,53.85,0.11,63.64,-0.26
513590,未知,0,0,50.38,-0.11,50.82,0.25,58.33,0.26,80.0,0.53
159712,未知,0,0,45.0,-0.2,50.79,0.22,53.57,0.28,90.91,0.98
513180,未知,0,0,49.32,-0.16,50.68,0.39,57.58,0.21,53.85,0.5
513170,未知,0,0,61.36,0.07,50.0,0.14,71.43,0.81,100.0,0.26
159711,未知,0,0,41.74,-0.21,50.0,0.18,53.57,0.39,50.0,0.08
513770,未知,0,0,49.57,-0.07,50.0,0.28,50.0,0.13,41.67,-0.19
513990,未知,0,0,49.69,-0.11,50.0,0.22,41.67,-0.15,61.9,0.37
159318,未知,0,0,57.78,-0.06,50.0,0.0,50.0,0.15,100.0,2.14
159312,未知,0,0,52.94,-0.23,50.0,0.23,42.86,0.5,66.67,-0.19
501307,未知,0,0,53.57,0.46,50.0,0.17,53.85,0.34,70.0,0.6
513320,未知,0,0,50.85,-0.09,50.0,0.02,50.0,0.2,69.23,0.36
501021,未知,0,0,54.62,-0.07,50.0,-0.05,46.94,-0.16,40.0,-0.3
513980,未知,0,0,51.41,-0.19,49.18,0.22,48.0,-0.2,50.0,-0.44
159718,未知,0,0,46.83,-0.07,49.18,0.2,51.72,0.33,41.67,-0.33
513690,未知,0,0,48.85,-0.08,49.18,0.09,61.54,0.29,70.0,0.47
513220,未知,0,0,54.46,0.12,48.98,-0.17,64.0,0.44,62.5,0.75
160140,未知,0,0,52.0,0.05,48.39,-0.08,51.22,0.09,38.89,-0.44
159699,未知,0,0,48.61,0.11,48.39,-0.1,73.33,0.76,50.0,-0.72
159570,未知,0,0,52.54,0.19,48.15,-0.32,61.54,0.88,75.0,0.88
513230,未知,0,0,48.41,-0.17,47.54,-0.06,46.67,0.27,40.0,0.06
513050,未知,0,0,54.71,0.0,47.54,-0.02,53.33,-0.08,48.15,0.36
513330,未知,0,0,47.56,-0.11,47.44,-0.06,44.44,-0.16,61.11,0.66
159850,未知,0,0,48.08,-0.17,47.22,0.11,50.0,0.15,56.25,0.2
513780,未知,0,0,51.35,-0.29,47.06,0.05,50.0,0.34,75.0,1.46
164906,未知,0,0,45.21,-0.28,46.88,0.09,48.68,0.14,45.95,0.06
513600,未知,0,0,51.68,0.01,46.75,-0.09,64.94,0.29,57.69,0.12
159331,未知,0,0,57.5,0.03,46.67,-0.07,57.14,0.26,66.67,-0.69
520900,未知,0,0,56.76,0.19,46.67,-0.06,57.14,0.19,50.0,0.17
513650,未知,0,0,51.47,0.13,46.67,0.08,50.0,0.29,57.14,0.32
159655,未知,0,0,59.49,0.24,46.67,-0.09,56.25,0.25,28.57,-0.07
520990,未知,0,0,61.54,0.08,46.67,-0.21,57.14,0.3,100.0,0.8
513060,未知,0,0,46.98,-0.19,46.48,-0.14,62.86,-0.22,53.85,-0.89
513550,未知,0,0,50.33,-0.06,46.38,0.06,54.05,0.35,69.23,0.37
159302,未知,0,0,59.38,-0.01,46.15,-0.09,57.14,0.01,66.67,-0.49
161831,未知,0,0,45.22,-0.14,45.86,-0.07,49.33,0.02,52.78,0.13
160924,未知,0,0,45.67,-0.05,45.1,0.13,61.54,0.23,44.44,0.12
513560,未知,0,0,54.02,0.02,44.44,-0.36,61.11,0.12,28.57,-0.68
159735,未知,0,0,44.44,-0.2,43.48,0.04,58.82,0.43,71.43,0.39
513070,未知,0,0,50.0,-0.03,43.4,-0.26,65.52,0.58,44.44,-0.33
513950,未知,0,0,53.52,0.14,43.33,-0.25,41.18,0.12,75.0,-0.01
159567,未知,0,0,52.46,0.28,42.31,-0.49,64.29,0.59,75.0,0.79
160322,未知,0,0,43.91,-0.06,42.11,-0.09,54.1,0.28,45.83,0.06
159569,未知,0,0,58.06,0.19,41.67,-0.29,50.0,-0.09,66.67,-0.34
159303,未知,0,0,47.92,-0.09,40.91,0.19,58.33,0.51,40.0,0.2
513110,未知,0,0,50.79,0.21,40.74,-0.08,35.71,-0.72,44.44,0.2
159822,未知,0,0,45.45,-0.26,40.74,-0.22,51.11,-0.03,45.0,-0.1
513900,未知,0,0,52.0,-0.03,40.4,-0.08,58.49,0.42,59.09,0.28
520520,未知,0,0,57.14,0.2,38.46,-0.15,62.5,0.51,33.33,0.07
161124,未知,0,0,50.22,0.03,37.0,-0.44,52.73,-0.07,66.67,0.46
513920,未知,0,0,74.55,0.5,36.36,-0.42,57.14,-0.05,33.33,-1.11
