代码,名称,近一周连跌2天,近一周连跌3天,2连跌后胜率,2连跌后均涨幅,3连跌后胜率,3连跌后均涨幅,4连跌后胜率,4连跌后均涨幅,5连跌后胜率,5连跌后均涨幅
513080,未知,1,0,0.5772,0.0896,0.5254,0.1834,0.5357,0.1261,0.6667,0.745
501225,未知,1,0,0.5185,-0.0327,0.4865,0.0268,0.3889,-0.29,0.5455,0.2764
520890,未知,1,0,0.5625,0.2787,0.4167,-0.0925,0.2857,-0.1671,1.0,0.58
159502,未知,1,0,0.6429,0.3645,0.5,0.0333,0.5,-0.8138,0.25,-0.75
161128,未知,1,0,0.5513,0.2358,0.4742,-0.094,0.5,-0.0152,0.4783,-0.0443
162415,未知,1,0,0.529,0.0384,0.4741,-0.0772,0.5,0.097,0.4074,-0.39
159333,未知,1,0,0.6061,0.053,0.5,0.115,0.5,0.2025,0.0,-1.64
513500,未知,1,0,0.535,0.0349,0.5398,0.1104,0.3673,-0.282,0.6071,0.3354
513290,未知,1,0,0.5824,0.1208,0.4545,0.1067,0.5,-0.8606,0.8889,1.1944
513560,未知,0,0,0.5402,0.0177,0.4444,-0.3586,0.6111,0.125,0.2857,-0.6786
161831,未知,0,0,0.4522,-0.1418,0.4586,-0.0703,0.4933,0.018,0.5278,0.1317
159561,未知,0,0,0.6,-0.0853,0.5294,-0.1612,0.625,0.7575,0.6667,-0.29
513880,未知,0,0,0.4789,0.0342,0.5765,0.2651,0.5,0.0294,0.6471,0.0141
159577,未知,0,0,0.5306,0.1814,0.5652,0.1404,0.4444,-0.4489,0.4,0.018
159331,未知,0,0,0.575,0.0338,0.4667,-0.0687,0.5714,0.2557,0.6667,-0.6867
513000,未知,0,0,0.4837,0.0455,0.6092,0.2457,0.5758,0.1294,0.6154,0.3669
513890,未知,0,0,0.5234,0.0345,0.5667,0.488,0.6364,0.4755,0.4286,-0.4257
513170,未知,0,0,0.6136,0.0727,0.5,0.1357,0.7143,0.8129,1.0,0.26
513980,未知,0,0,0.5211,-0.1677,0.4833,0.2093,0.48,-0.1964,0.5,-0.4417
513550,未知,0,0,0.5033,-0.0604,0.4638,0.0559,0.5405,0.3505,0.6923,0.3738
520900,未知,0,0,0.5676,0.1873,0.4667,-0.0647,0.5714,0.1886,0.5,0.17
159688,未知,0,0,0.5155,0.1932,0.5227,-0.0768,0.4211,-0.0184,0.6364,0.58
159501,未知,0,0,0.5077,0.1911,0.5357,0.2386,0.3333,-0.2758,0.625,0.3312
513870,未知,0,0,0.48,0.276,0.5217,-0.0687,0.3,-0.607,0.5714,0.6571
159529,未知,0,0,0.5192,0.3592,0.619,0.399,0.2857,-1.5329,0.6,0.868
513070,未知,0,0,0.4955,-0.0483,0.434,-0.2562,0.6552,0.5817,0.4444,-0.3267
513950,未知,0,0,0.5352,0.1403,0.4333,-0.254,0.4118,0.12,0.75,-0.005
513060,未知,0,0,0.4698,-0.1868,0.4648,-0.1382,0.6286,-0.2186,0.5385,-0.8946
159960,未知,0,0,0.463,-0.1672,0.5189,0.2095,0.4651,-0.0681,0.5714,-0.1543
513820,未知,0,0,0.6136,0.0364,0.6,0.1333,0.8,0.608,0.0,-2.29
159711,未知,0,0,0.4123,-0.2178,0.5,0.1767,0.5357,0.3868,0.5,0.0833
159605,未知,0,0,0.5,0.1266,0.5588,0.349,0.5926,0.277,0.6,0.869
160140,未知,0,0,0.5179,0.0461,0.4839,-0.0768,0.5122,0.0898,0.3889,-0.4422
513600,未知,0,0,0.5153,0.0077,0.4675,-0.0925,0.6494,0.286,0.5769,0.1212
159747,未知,0,0,0.48,-0.2057,0.589,0.497,0.5517,0.1972,0.6154,0.2669
513860,未知,0,0,0.5175,-0.023,0.5574,0.2218,0.52,0.1004,0.5,-0.238
520520,未知,0,0,0.5714,0.2011,0.3846,-0.1515,0.625,0.5138,0.3333,0.07
513360,未知,0,0,0.4681,-0.3896,0.5479,0.1392,0.5161,-0.251,0.5714,-0.3871
159568,未知,0,0,0.5472,0.0536,0.625,0.055,0.7143,1.2414,0.5,1.21
513770,未知,0,0,0.5043,-0.0265,0.4909,0.2496,0.5,0.1258,0.4167,-0.1875
159303,未知,0,0,0.4792,-0.0969,0.4545,0.2623,0.5455,0.4518,0.4,0.202
159751,未知,0,0,0.5242,-0.1521,0.5472,0.3858,0.5909,0.3432,0.5,0.0363
159712,未知,0,0,0.45,-0.2032,0.5079,0.2249,0.5357,0.28,0.9091,0.9809
164906,未知,0,0,0.4521,-0.2804,0.4688,0.0874,0.4868,0.1441,0.4595,0.0568
513920,未知,0,0,0.7407,0.4989,0.3636,-0.4218,0.5714,-0.0543,0.3333,-1.11
159687,未知,0,0,0.5395,0.0433,0.7097,0.6103,0.75,0.365,0.5,-0.05
159792,未知,0,0,0.5294,-0.0729,0.5156,0.2575,0.4483,-0.0559,0.5333,0.1807
513990,未知,0,0,0.5031,-0.0962,0.4933,0.2033,0.4167,-0.1519,0.619,0.3681
513180,未知,0,0,0.4932,-0.1603,0.5068,0.3895,0.5758,0.2109,0.5385,0.5023
513230,未知,0,0,0.4841,-0.1913,0.4754,-0.012,0.5,0.4363,0.3571,-0.2671
160717,未知,0,0,0.4789,-0.0458,0.5147,0.1632,0.4725,0.0367,0.5349,-0.2647
159545,未知,0,0,0.6,0.0891,0.6471,0.2506,0.0,-0.344,0.75,-0.13
513280,未知,0,0,0.4464,-0.0321,0.5263,-0.0521,0.5769,0.24,0.8182,0.52
501310,未知,0,0,0.4012,-0.1223,0.5116,0.0124,0.4324,0.0924,0.3684,-0.0858
160322,未知,0,0,0.4391,-0.0566,0.4211,-0.0884,0.541,0.2795,0.4583,0.0567
513200,未知,0,0,0.5285,0.0033,0.5088,0.2319,0.5385,0.1131,0.6364,-0.2618
159740,未知,0,0,0.4898,-0.1629,0.5417,0.4067,0.5517,0.1869,0.4615,0.1569
513160,未知,0,0,0.5299,-0.0538,0.549,0.4616,0.4545,-0.11,0.6667,0.2008
513810,未知,0,0,0.6061,0.0603,0.64,0.2984,0.4444,-0.0211,0.6,-0.15
159513,未知,0,0,0.4746,0.1673,0.5357,0.1496,0.3333,-0.5825,0.5,0.3712
159776,未知,0,0,0.5,0.1305,0.5172,0.0998,0.5769,0.2854,0.8,0.193
513660,未知,0,0,0.5302,-0.062,0.5177,0.0811,0.5909,0.3585,0.5769,0.1723
159850,未知,0,0,0.4808,-0.1871,0.4861,0.1824,0.4848,0.0955,0.5625,0.2025
513220,未知,0,0,0.5446,0.1186,0.4898,-0.1733,0.64,0.444,0.625,0.75
513020,未知,0,0,0.5203,-0.1195,0.5965,0.5314,0.619,0.4524,0.5,-0.0363
513110,未知,0,0,0.5079,0.2113,0.4074,-0.0844,0.3571,-0.72,0.4444,0.1978
501303,未知,0,0,0.4885,0.0587,0.5263,0.3539,0.52,0.33,0.4545,-0.4864
159612,未知,0,0,0.5699,0.0756,0.5641,0.5113,0.625,0.2475,0.4,0.136
159506,未知,0,0,0.45,-0.1439,0.5814,-0.0856,0.6471,0.7759,0.8333,0.8133
513120,未知,0,0,0.5,0.1357,0.6038,0.176,0.5,-0.161,0.7,0.265
513350,未知,0,0,0.541,0.1241,0.5556,0.1344,0.2,-1.573,0.5,1.07
520830,未知,0,0,0.3556,-0.1189,0.5185,0.0296,0.6923,-0.2669,1.0,2.825
159636,未知,0,0,0.5455,0.0016,0.5319,0.1153,0.4545,0.0218,0.7273,0.6209
513330,未知,0,0,0.4756,-0.1126,0.4744,-0.0585,0.4444,-0.1553,0.6111,0.6556
501301,未知,0,0,0.4943,0.0245,0.5447,0.1664,0.4727,0.0229,0.5217,0.0552
159318,未知,0,0,0.5682,-0.0798,0.5,0.0038,0.5,0.145,1.0,2.1433
513590,未知,0,0,0.5,-0.1247,0.5082,0.2489,0.5833,0.2629,0.8,0.533
160924,未知,0,0,0.4541,-0.0514,0.451,0.1258,0.6154,0.231,0.4444,0.1156
159659,未知,0,0,0.5231,0.2411,0.5769,0.2169,0.1818,-0.8073,0.4444,0.3989
159691,未知,0,0,0.5714,0.1071,0.5667,-0.031,0.5455,0.7218,0.6,-0.38
159312,未知,0,0,0.5294,-0.2,0.5,0.2,0.5714,0.7071,0.5,-0.385
513400,未知,0,0,0.4043,-0.2243,0.5455,0.3195,0.375,0.035,0.75,0.43
161124,未知,0,0,0.5022,0.0315,0.37,-0.4449,0.5273,-0.074,0.6667,0.4579
159699,未知,0,0,0.4861,0.1067,0.4839,-0.1003,0.7333,0.7613,0.5,-0.725
159570,未知,0,0,0.5254,0.1905,0.4815,-0.32,0.6154,0.8815,0.75,0.885
161130,未知,0,0,0.5163,0.0479,0.551,0.1297,0.5385,0.4738,0.4118,-0.1818
159567,未知,0,0,0.5333,0.2895,0.4231,-0.4915,0.6429,0.5857,0.75,0.79
520660,未知,0,0,0.5278,0.2003,0.6667,0.1593,0.4,0.182,0.0,-2.06
159519,未知,0,0,0.5373,0.159,0.5556,0.0659,0.7273,0.4182,0.6667,-0.18
513010,未知,0,0,0.4865,-0.1296,0.5571,0.3997,0.6333,0.3433,0.3,-0.825
501312,未知,0,0,0.5139,-0.0018,0.6176,0.1353,0.4615,-0.2208,0.3333,-0.2583
159735,未知,0,0,0.4519,-0.1947,0.4265,0.0359,0.5882,0.4271,0.7143,0.3943
159822,未知,0,0,0.4512,-0.2702,0.4074,-0.2242,0.5111,-0.0316,0.45,-0.103
513800,未知,0,0,0.5319,-0.0069,0.6667,0.3994,0.6,0.254,0.4444,-0.0911
513780,未知,0,0,0.5135,-0.2922,0.4706,0.0482,0.5,0.345,0.75,1.4625
513520,未知,0,0,0.5131,0.1369,0.5663,0.1518,0.4706,-0.0268,0.5,-0.0094
513580,未知,0,0,0.4832,-0.0923,0.5417,0.4154,0.6,0.122,0.5833,0.0058
501306,未知,0,0,0.4882,0.0729,0.5467,0.2003,0.6786,0.2939,0.5714,1.35
513040,未知,0,0,0.5476,0.2002,0.5714,-0.3397,0.6429,0.7329,0.4,-0.056
159329,未知,0,0,0.4898,0.0806,0.5263,-0.3016,0.875,0.925,0.0,0.0
501307,未知,0,0,0.5357,0.463,0.5,0.1733,0.5385,0.3438,0.7,0.597
501305,未知,0,0,0.554,0.3191,0.5366,0.3595,0.6667,0.167,0.5,-0.398
159615,未知,0,0,0.4701,-0.0589,0.5345,0.1588,0.5652,0.7052,0.75,0.3675
520700,未知,0,0,0.4872,-0.2846,0.55,-0.155,0.6667,0.3833,1.0,1.4667
159557,未知,0,0,0.4792,-0.2585,0.56,0.3312,0.5455,0.6082,0.6,-0.41
510900,未知,0,0,0.5038,-0.0431,0.5135,0.0128,0.5732,0.4735,0.5294,0.1188
159302,未知,0,0,0.5938,0.0341,0.4615,-0.0662,0.5714,-0.3114,1.0,0.4667
513700,未知,0,0,0.507,-0.0456,0.5385,0.2512,0.5357,-0.0882,0.7692,0.0669
159741,未知,0,0,0.4685,-0.1532,0.5753,0.5049,0.5667,0.1693,0.5,-0.2058
159742,未知,0,0,0.4771,-0.079,0.5541,0.2592,0.5667,-0.0413,0.5385,0.3085
159569,未知,0,0,0.5667,0.1643,0.4167,-0.2908,0.5,-0.0933,0.6667,-0.34
159718,未知,0,0,0.464,-0.0804,0.4918,0.1964,0.5172,0.3293,0.4167,-0.3333
513900,未知,0,0,0.52,-0.029,0.404,-0.0841,0.5849,0.4228,0.5909,0.2805
159607,未知,0,0,0.5074,0.0755,0.5385,0.5165,0.5926,0.3196,0.6667,1.1778
501302,未知,0,0,0.4651,-0.0042,0.5243,0.0767,0.5106,0.1819,0.4762,-0.0471
513690,未知,0,0,0.4885,-0.0825,0.4918,0.0859,0.6154,0.2908,0.7,0.472
513970,未知,0,0,0.506,0.0647,0.5676,0.2781,0.5714,0.5257,0.4,-0.092
159788,未知,0,0,0.4144,-0.2484,0.5263,0.1493,0.56,0.1856,0.5,0.243
513630,未知,0,0,0.6724,0.2943,0.6667,0.1767,0.6,0.102,1.0,0.74
513210,未知,0,0,0.5106,-0.1877,0.5714,0.1581,0.3333,0.0133,0.5,0.035
160644,未知,0,0,0.4976,0.0787,0.5217,0.2726,0.6154,0.8079,0.5333,0.1433
513650,未知,0,0,0.5147,0.129,0.4667,0.0793,0.5,0.2929,0.5714,0.3229
513260,未知,0,0,0.5429,0.153,0.587,0.3485,0.5882,0.4876,0.6667,0.055
159655,未知,0,0,0.5949,0.2377,0.4667,-0.094,0.5625,0.2506,0.2857,-0.0671
159726,未知,0,0,0.525,-0.1378,0.58,0.1292,0.6316,0.5879,0.4,-0.176
159518,未知,0,0,0.5224,0.2145,0.6207,0.0166,0.2727,-0.8327,0.1667,0.6
513320,未知,0,0,0.5085,-0.0942,0.5,0.0234,0.5,0.2021,0.6923,0.3569
513050,未知,0,0,0.5471,0.0,0.4754,-0.0161,0.5333,-0.08,0.4815,0.3596
520990,未知,0,0,0.6154,0.0751,0.4667,-0.2113,0.5714,0.2971,1.0,0.8
159750,未知,0,0,0.5323,-0.0574,0.5965,0.2888,0.6087,0.3878,0.5,0.07
513530,未知,0,0,0.5905,0.1051,0.5122,0.0105,0.6842,0.6005,0.3333,-0.815
513380,未知,0,0,0.5085,0.1437,0.566,0.517,0.7273,0.6205,0.4,-0.066
164705,未知,0,0,0.5,0.1374,0.5693,0.237,0.5556,0.3759,0.4762,-0.0086
501021,未知,0,0,0.5462,-0.0655,0.5,-0.0487,0.4694,-0.1584,0.4,-0.2988
159954,未知,0,0,0.4775,-0.1812,0.5133,0.07,0.4444,0.1537,0.4231,-0.1823
513130,未知,0,0,0.4834,-0.1499,0.5195,0.3875,0.5806,0.1726,0.4167,-0.2758
513150,未知,0,0,0.5827,0.0917,0.5106,0.4368,0.5238,0.0219,0.4444,-0.4444
159920,未知,0,0,0.4921,-0.0924,0.5111,0.0758,0.481,0.0727,0.6053,0.3339
159892,未知,0,0,0.4361,-0.115,0.5143,0.1684,0.4839,-0.3974,0.7333,0.434
